Senator,Party,Organization,Total,PACs,Individuals
"Baldwin, Tammy",(D),University of Wisconsin,528258,0,528258
"Baldwin, Tammy",(D),JStreetPAC,216748,9706,207042
"Baldwin, Tammy",(D),Democracy Engine,187684,0,187684
"Baldwin, Tammy",(D),League of Conservation Voters,97896,12213,85683
"Baldwin, Tammy",(D),State of Wisconsin,91576,0,91576
"Baldwin, Tammy",(D),Womencount PAC,89659,25,89634
"Baldwin, Tammy",(D),Emily's List,85291,5000,80291
"Baldwin, Tammy",(D),"Paul, Weiss et al",67589,0,67589
"Baldwin, Tammy",(D),Marshfield Clinic,63387,0,63387
"Baldwin, Tammy",(D),Northwestern Mutual,58117,37400,20717
"Baldwin, Tammy",(D),Medical College of Wisconsin,52002,0,52002
"Baldwin, Tammy",(D),"Michael, Best & Friedrich",50073,6500,43573
"Baldwin, Tammy",(D),Epic Systems,47577,0,47577
"Baldwin, Tammy",(D),University of California,44415,0,44415
"Baldwin, Tammy",(D),Foley & Lardner,43128,7500,35628
"Baldwin, Tammy",(D),National Education Assn,42155,25000,17155
"Baldwin, Tammy",(D),Francisco Partners,41800,0,41800
"Baldwin, Tammy",(D),AT&T Inc,41383,3000,38383
"Baldwin, Tammy",(D),Operating Engineers Union,41280,41000,280
"Baldwin, Tammy",(D),American Federation of Teachers,40130,40000,130
"Baldwin, Tammy",(D),Congaree River LP,39950,0,39950
"Baldwin, Tammy",(D),Oshkosh Corp,39520,10000,29520
"Baldwin, Tammy",(D),Lockheed Martin,38541,36000,2541
"Baldwin, Tammy",(D),Farm Credit Council,37500,37500,0
"Baldwin, Tammy",(D),American Assn for Justice,35920,35000,920
"Baldwin, Tammy",(D),International Brotherhood of Electrical Workers,35710,35000,710
"Baldwin, Tammy",(D),Molson Coors Beverage Co,35610,29000,6610
"Baldwin, Tammy",(D),Bricklayers Union,35000,35000,0
"Baldwin, Tammy",(D),"Habush, Habush & Rottier",34841,0,34841
"Baldwin, Tammy",(D),Alphabet Inc,34440,14000,20440
"Baldwin, Tammy",(D),IBM Corp,33490,0,33490
"Baldwin, Tammy",(D),Mayo Clinic,33412,0,33412
"Baldwin, Tammy",(D),National Assn of Letter Carriers,32850,32500,350
"Baldwin, Tammy",(D),Arenberg Holdings,32700,0,32700
"Baldwin, Tammy",(D),Comcast Corp,32092,25000,7092
